"term","estimate","std.error","statistic","p.value"
"b_1_0",-0.688242883996024,0.206371122360513,-3.33497669695144,0.000853065476788013
"b_1_1",0.13712092208512,0.0522041552961522,2.62662849934527,0.00862354255512753
"b_1_2",0.227852411531535,0.0413083713303898,5.51588949632368,3.47020264702049e-08
"b_1_3",0.0831418016821831,0.0338717233164674,2.45460796031485,0.0141038307264773
"b_1_4",0.111265689468834,0.0337267418839372,3.29903463108678,0.000970179416464718
"b_1_5",0.146299726127444,0.0491664795900534,2.97559897204925,0.00292416975897303
"b_1_6",0.491174493449887,0.0336713345115681,14.5873188744907,3.38231051067774e-48
"b_1_7",0.164941939007324,0.0362294776233324,4.55269989598466,5.29617976322025e-06
"b_1_8",0.105353553356959,0.0459626926266714,2.29215364323161,0.021896778861735
"b_1_9",0.0866533752090386,0.0426525784411865,2.0316093041954,0.0421932240316261
"b_1_10",-0.070595523119053,0.0321415865921749,-2.19639198322089,0.0280638989755586
"b_1_11",-0.306885549868078,0.0387796132757478,-7.91357942860147,2.50092154082109e-15
"b_1_12",-0.356222535591279,0.215239731738426,-1.65500362184146,0.0979237632306972
"b_1_13",-0.174759881913927,0.212977203837142,-0.820556748634754,0.411898792419112
"b_1_14",-0.485992009206312,0.196543571167682,-2.47269349141767,0.0134099099508498
"b_1_15",-0.507864575497458,0.204704408462834,-2.48096550196996,0.0131027053489607
"b_1_16",-0.283992857745728,0.220087801037957,-1.29036164842571,0.196925121428934
"b_1_17",-0.462743111489012,0.207362894361748,-2.23156178887892,0.0256439394720182
"b_1_18",-0.250111876962964,0.222679481733017,-1.12319228972716,0.261355836483089
"b_1_19",-0.241482787829178,0.192236955834871,-1.25617255423358,0.209053415229424
"b_1_20",0.0841339457118559,0.243906864380414,0.344942918788192,0.730137283997895
"b_1_21",0.0739590463022632,0.230159088155171,0.321338804802705,0.747953652447407
"b_1_22",-0.35951906828804,0.196084053665651,-1.83349467520223,0.0667290397117878
"b_1_23",-0.32457759971548,0.191774811630358,-1.69249338302621,0.0905519406953132
"b_1_24",-0.130281661323534,0.199639864535413,-0.652583398745112,0.51402489098002
"b_1_25",-0.0687829599548144,0.200612396179474,-0.342864953835051,0.731700058169216
"b_1_26",-0.606274617091463,0.207212925841653,-2.9258532720819,0.00343512911228678
