"","eco_innovation","recycling","resource_reduction","energy_saving","sust_prod","AI","bigdata","cloud","highspeed","robot","smart_devices","fam_owned","financecap","indstrl_area","urban_area","skillshortage","nace_a","ln_size","isocntry"
"61",0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,"5",2.19722457733622,"BE"
"62",0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,"6",1.09861228866811,"BE"
"63",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,"2",9.17595594511435,"BE"
"64",1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,"2",5.50938833662798,"BE"
"65",1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,"8",0.693147180559945,"BE"
"66",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"8",0.693147180559945,"BE"
"67",1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"15",5.62040086571715,"BE"
"68",1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,"6",3.04452243772342,"BE"
"69",0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"6",1.38629436111989,"BE"
"70",1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,"14",3.13549421592915,"BE"
"71",0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,"10",5.80814248998044,"BE"
"72",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"8",1.6094379124341,"BE"
"73",1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,"2",1.09861228866811,"BE"
"74",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"8",1.94591014905531,"BE"
"75",1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,"15",3.13549421592915,"BE"
"76",1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,"6",3.13549421592915,"BE"
"77",0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,"2",4.4188406077966,"BE"
"78",1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,"6",4.44265125649032,"BE"
"79",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"6",1.6094379124341,"BE"
"80",0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,"15",5.3890717298165,"BE"
"81",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"13",1.09861228866811,"BE"
"82",0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,"9",1.09861228866811,"BE"
"83",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"5",1.38629436111989,"BE"
"84",0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,"12",4.46590811865458,"BE"
"85",1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,"15",4.45434729625351,"BE"
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"13",1.38629436111989,"BE"
"87",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,"2",0.693147180559945,"BE"
"88",0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,"10",1.79175946922805,"BE"
"89",0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,"2",1.6094379124341,"BE"
"90",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"10",0.693147180559945,"BE"
"91",0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,"6",0.693147180559945,"BE"
"92",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"2",6.80903930604298,"BE"
"93",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6",1.6094379124341,"BE"
"94",0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,"5",2.484906649788,"BE"
"95",1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,"2",4.04305126783455,"BE"
"96",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"15",0.693147180559945,"BE"
"97",1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,"10",1.6094379124341,"BE"
"98",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"2",2.70805020110221,"BE"
"99",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"5",3.8286413964891,"BE"
"100",0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"15",4.21950770517611,"BE"
"101",1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,"2",4.46590811865458,"BE"
"102",0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,"12",0.693147180559945,"BE"
"103",0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,"12",2.39789527279837,"BE"
"104",0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,"6",2.63905732961526,"BE"
"105",1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,"6",4.14313472639153,"BE"
"106",0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,"12",0.693147180559945,"BE"
"107",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"5",1.79175946922805,"BE"
"108",0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,"12",1.94591014905531,"BE"
"109",0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,"7",4.00733318523247,"BE"
"110",1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,"6",3.09104245335832,"BE"
"111",0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,"5",3.98898404656427,"BE"
"112",0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,"10",1.6094379124341,"BE"
"113",0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,"14",4.59511985013459,"BE"
"114",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"6",1.09861228866811,"BE"
"115",1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,"12",1.09861228866811,"BE"
"116",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"4",1.38629436111989,"BE"
"117",0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"12",0.693147180559945,"BE"
"118",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"5",3.91202300542815,"BE"
"119",1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,"12",3.04452243772342,"BE"
"120",1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,"16",4.06044301054642,"BE"
"121",0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,"15",6.13556489108174,"BE"
"122",1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,"15",6.64898455002478,"BE"
"123",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"5",1.94591014905531,"BE"
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"5",0.693147180559945,"BE"
"125",1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,"6",2.19722457733622,"BE"
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"6",1.6094379124341,"BE"
"127",1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,"6",0.693147180559945,"BE"
"128",1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,"15",4.96284463025991,"BE"
"129",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,"12",1.38629436111989,"BE"
"130",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"13",3.91202300542815,"BE"
"131",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"5",3.13549421592915,"BE"
"132",0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,"15",2.89037175789616,"BE"
"133",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,"7",3.13549421592915,"BE"
"134",0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,"5",1.09861228866811,"BE"
"135",0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,"2",1.79175946922805,"BE"
"136",1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,"2",3.04452243772342,"BE"
"137",0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,"15",4.40671924726425,"BE"
"138",0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,"13",0.693147180559945,"BE"
"139",1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,"13",1.09861228866811,"BE"
"140",0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,"15",5.19295685089021,"BE"
"141",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"2",2.07944154167984,"BE"
"142",1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,"2",4.70953020131233,"BE"
"143",0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,"8",6.35437004079735,"BE"
"144",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"2",4.78749174278205,"BE"
"145",1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,"2",4.71849887129509,"BE"
"146",0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,"15",6.04973345523196,"BE"
"147",0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,"9",1.38629436111989,"BE"
"148",0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,"2",4.0943445622221,"BE"
"149",0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"2",1.94591014905531,"BE"
"150",0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"6",4.00733318523247,"BE"
"151",0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,"5",2.30258509299405,"BE"
"152",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,"15",5.15329159449778,"BE"
"153",1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,"15",3.43398720448515,"BE"
"154",0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,"6",0.693147180559945,"BE"
"155",1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,"7",2.70805020110221,"BE"
"156",0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,"7",1.94591014905531,"BE"
"157",1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,"15",8.00670084544037,"BE"
"158",0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,"5",2.77258872223978,"BE"
"159",0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,"6",4.45434729625351,"BE"
"160",0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,"6",3.29583686600433,"BE"
"161",1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,"6",2.19722457733622,"BE"
"162",0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"8",1.6094379124341,"BE"
"163",1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,"6",1.38629436111989,"BE"
"164",1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,"2",4.17438726989564,"BE"
"165",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"12",0.693147180559945,"BE"
"166",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"8",2.484906649788,"BE"
"167",1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,"6",2.83321334405622,"BE"
"168",0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,"6",4.33073334028633,"BE"
"169",0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,"12",1.6094379124341,"BE"
"170",1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,"5",3.93182563272433,"BE"
"171",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"9",0.693147180559945,"BE"
"172",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"8",1.94591014905531,"BE"
"173",0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,"6",2.07944154167984,"BE"
"174",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"5",1.09861228866811,"BE"
"175",0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,"12",0.693147180559945,"BE"
"176",0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,"6",1.79175946922805,"BE"
"177",1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,"6",1.79175946922805,"BE"
"178",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,"6",1.38629436111989,"BE"
"179",1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,"2",1.94591014905531,"BE"
"180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"16",2.07944154167984,"BE"
"181",1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,"2",1.09861228866811,"BE"
"182",0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,"5",1.94591014905531,"BE"
"183",0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,"12",4.47733681447821,"BE"
"184",1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,"13",4.39444915467244,"BE"
"185",0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,"9",0.693147180559945,"BE"
"186",1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,"8",4.17438726989564,"BE"
"187",1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,"10",1.09861228866811,"BE"
"188",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5",4.20469261939097,"BE"
"189",0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,"15",5.04985600724954,"BE"
"190",0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,"6",1.09861228866811,"BE"
"191",1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,"6",1.09861228866811,"BE"
"192",1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,"2",6.61338421837956,"BE"
"193",0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,"2",3.61091791264422,"BE"
"194",0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,"6",3.04452243772342,"BE"
"195",0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,"12",1.6094379124341,"BE"
"196",0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,"6",2.63905732961526,"BE"
"197",1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,"2",1.6094379124341,"BE"
"198",0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,"2",1.38629436111989,"BE"
"199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7",0.693147180559945,"BE"
"200",0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,"9",0.693147180559945,"BE"
"201",1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,"6",0.693147180559945,"BE"
"202",1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,"15",3.25809653802148,"BE"
"203",1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,"5",1.09861228866811,"BE"
"204",0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,"6",1.6094379124341,"BE"
"205",1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,"6",3.87120101090789,"BE"
"206",1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,"6",3.52636052461616,"BE"
"207",0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,"12",1.79175946922805,"BE"
"208",0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,"2",1.09861228866811,"BE"
"209",0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,"5",2.39789527279837,"BE"
"210",0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,"6",1.6094379124341,"BE"
"211",1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,"6",3.40119738166216,"BE"
"212",0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,"6",0.693147180559945,"BE"
"213",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"7",2.70805020110221,"BE"
"214",1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,"7",1.6094379124341,"BE"
"215",1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,"6",3.78418963391826,"BE"
"216",1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,"6",1.38629436111989,"BE"
"217",0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,"15",1.94591014905531,"BE"
"218",0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,"2",0.693147180559945,"BE"
"219",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"6",2.07944154167984,"BE"
"220",0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,"15",3.55534806148941,"BE"
"221",0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,"6",0.693147180559945,"BE"
"222",1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,"5",1.6094379124341,"BE"
"223",0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,"8",0.693147180559945,"BE"
"224",1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,"2",1.38629436111989,"BE"
"225",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"10",0.693147180559945,"BE"
"226",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"10",0.693147180559945,"BE"
"227",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"6",2.39789527279837,"BE"
"228",0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,"6",1.09861228866811,"BE"
"229",0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,"6",1.6094379124341,"BE"
"230",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"2",2.63905732961526,"BE"
"231",1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,"6",1.38629436111989,"BE"
"232",0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,"6",2.94443897916644,"BE"
"233",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13",1.09861228866811,"BE"
"234",1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,"6",1.09861228866811,"BE"
"235",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"6",1.6094379124341,"BE"
"236",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,"2",3.17805383034795,"BE"
"237",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"6",1.09861228866811,"BE"
"238",0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,"6",1.6094379124341,"BE"
"239",0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,"6",1.79175946922805,"BE"
"240",1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,"13",2.39789527279837,"BE"
"241",1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"6",0.693147180559945,"BE"
"242",1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,"6",2.30258509299405,"BE"
"243",0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,"12",3.2188758248682,"BE"
