label,percent
"AI, machine learning, pattern recognition",8.7
Big data analytics,15.8
Cloud computing,52.4
High-speed infrastructure,36.3
"Use of robots, automation of processes",9.8
"Smart devices, intelligent sensors, thermostats",29.7
