"term","estimate","std.error","statistic","p.value"
"b_1_0",-0.688242883977499,0.206371122411614,-3.33497669603588,0.000853065479596681
"b_1_1",0.137120922229176,0.0522041552939152,2.6266285022173,0.00862354248235088
"b_1_2",0.227852411636933,0.0413083713239743,5.51588949973184,3.47020257976214e-08
"b_1_3",0.0831418016419299,0.0338717233152081,2.45460795921771,0.0141038307695168
"b_1_4",0.111265689430075,0.0337267418832404,3.29903463000574,0.000970179420200945
"b_1_5",0.146299726194254,0.0491664795902791,2.97559897339445,0.00292416974614788
"b_1_6",0.491174493438807,0.0336713345101057,14.5873188747952,3.38231049558518e-48
"b_1_7",0.1649419391845,0.0362294776202525,4.55269990126207,5.2961796303178e-06
"b_1_8",0.105353553225737,0.0459626926233535,2.29215364054209,0.0218967790168771
"b_1_9",0.0866533751625666,0.0426525784396141,2.03160930318075,0.0421932241344269
"b_1_10",-0.0705955230561144,0.0321415865913957,-2.19639198131597,0.0280638991117876
"b_1_11",-0.306885549825767,0.0387796132780441,-7.91357942704179,2.50092157216744e-15
"b_1_12",-0.356222535330728,0.215239731784923,-1.65500362027342,0.0979237635487672
"b_1_13",-0.174759881769134,0.212977203877272,-0.820556747800292,0.411898792894599
"b_1_14",-0.48599200927936,0.196543571218328,-2.47269349115216,0.0134099099608116
"b_1_15",-0.507864575545365,0.204704408506854,-2.48096550167047,0.0131027053599695
"b_1_16",-0.283992857397129,0.220087801081496,-1.29036164658653,0.196925122067206
"b_1_17",-0.46274311156612,0.207362894411467,-2.23156178871571,0.0256439394828157
"b_1_18",-0.250111876975045,0.222679481762539,-1.1231922896325,0.261355836523282
"b_1_19",-0.241482787955576,0.192236955885792,-1.25617255455835,0.209053415111701
"b_1_20",0.0841339452938783,0.243906864460549,0.344942916961185,0.730137285371441
"b_1_21",0.0739590466737035,0.230159088171462,0.321338806393802,0.747953651241776
"b_1_22",-0.359519067786565,0.196084053716639,-1.83349467216802,0.0667290401626063
"b_1_23",-0.324577599745116,0.191774811680808,-1.69249338273551,0.0905519407506941
"b_1_24",-0.130281661123359,0.199639864579936,-0.652583397596894,0.514024891720458
"b_1_25",-0.0687829599488445,0.200612396224874,-0.342864953727701,0.73170005824998
"b_1_26",-0.606274617675642,0.207212925882787,-2.9258532743203,0.00343512908757166
"b_1_27",0.0328251199334158,0.0121043074960302,2.71185443233175,0.00669079683019576
"b_1_28",-0.808289642887388,0.215907526661182,-3.74368441613346,0.000181341393707257
"b_1_29",0.0973308031695878,0.107646436562687,0.904171157703931,0.365904651372602
"b_1_30",-0.0386472927024677,0.152779077034774,-0.25296194644291,0.800297619338054
"b_1_31",0.0300134077200479,0.113946620557336,0.263398840380225,0.792243184300725
"b_1_32",-0.252699576683069,0.107048986524075,-2.36059756274514,0.0182455183523944
"b_1_33",-0.706925868661824,0.24393395642579,-2.89802157526554,0.00375524755714063
"b_1_34",0.0128605582819285,0.111924581613773,0.114903786965293,0.908521383414635
"b_1_35",0.107710968347279,0.104006380496281,1.03561885177929,0.300379993565201
"b_1_36",0.173547725099101,0.0993764720708087,1.74636633282215,0.0807473162369179
"b_1_37",-0.61432696473678,0.166132439284129,-3.69781463141056,0.000217463594780608
"b_1_38",0.0842416595967904,0.104184614473105,0.808580614544932,0.418756419062939
"b_1_39",-0.0805240818561505,0.097599229019105,-0.825048339678871,0.409344147205667
"b_1_40",0.0828825757773618,0.102393472672951,0.809451751305398,0.418255344947927
"b_1_41",0.0194942458174731,0.11660342525331,0.167184160972319,0.867225146731011
"b_1_42",-0.502189340003017,0.124553790299854,-4.03190732930756,5.53260041891652e-05
"b_1_43",-0.665273561892293,0.13704779482499,-4.85431788772559,1.20801823838738e-06
"b_1_44",-0.320434891200605,0.154944027617996,-2.06806868342558,0.0386335650083209
"b_1_45",-0.00340591116466252,0.118080117616316,-0.0288440698859186,0.976988952801459
"b_1_46",0.19164703947204,0.157072113408717,1.22012135262582,0.222418875181117
"b_1_47",-0.559171481761322,0.328722361522913,-1.70104485490667,0.0889345647177904
"b_1_48",-0.163334771150197,0.128880230039544,-1.26733767545326,0.2050345745219
"b_1_49",-0.791323874007684,0.157290495312093,-5.03097070447616,4.88002718810946e-07
"b_1_50",0.218969067074684,0.158269309906386,1.38352196774094,0.166504876267432
"b_1_51",0.0871600947679979,0.115952640923036,0.751687016993867,0.452239299816946
"b_1_52",-0.52839277383306,0.267073604652689,-1.97845374693692,0.0478775415656047
"b_1_53",-0.047892275544437,0.106830974453269,-0.448299529135031,0.653937040420756
"b_1_54",-0.0994804129822929,0.113184373991379,-0.8789235605073,0.379442723074059
"b_1_55",0.0784538054833832,0.106502036989469,0.736641361058106,0.461340475269628
"b_1_56",0.149621454884956,0.114715084494644,1.30428753589021,0.192135563420179
"b_1_57",-0.514181876459451,0.117734117597194,-4.36731413929334,1.25783753166386e-05
"b_1_58",-0.354135158358422,0.232610412432941,-1.5224389770622,0.127899124753092
"b_1_59",0.0233984052951211,0.151268002780242,0.154681789043739,0.877072187421549
"b_1_60",-0.0919931508302796,0.100523493871009,-0.915140802291699,0.360117717147526
"b_1_61",-0.385260833495511,0.116974100667748,-3.29355670440077,0.000989283849117904
"b_1_62",-0.0696508064633946,0.112133311493786,-0.621142865893638,0.534505627371638
"b_1_63",-0.082654126634061,0.143455771365945,-0.576164526857664,0.5645039797357
"b_1_64",-0.570817061962238,0.117134911373984,-4.87315912281485,1.09827691524894e-06
"b_2_0",-0.237727937050078,0.180114598785193,-1.31987045277543,0.18687827414604
"b_2_1",0.0266049892218726,0.0583134248522602,0.456241239290568,0.64821651336576
"b_2_2",0.0961226190057495,0.0438670540786353,2.19122576212758,0.028435459203902
"b_2_3",0.210743333054334,0.0317382049839552,6.64005204959993,3.13572401591163e-11
"b_2_4",0.174181689576521,0.0331841626666637,5.24894032512387,1.52976615931764e-07
"b_2_5",0.120084003356029,0.0535093677869693,2.24416785924486,0.0248216031581669
"b_2_6",0.283523237654602,0.0346181731047397,8.19001155250981,2.61201104715459e-16
"b_2_7",0.144533071486238,0.0366368835356889,3.94501544721849,7.97948345121552e-05
"b_2_8",0.00715278094298584,0.0467638833887637,0.152955238629829,0.878433574235012
"b_2_9",0.108563143812961,0.0436915678307842,2.48476191638217,0.0129638103875412
"b_2_10",-0.0618539282427087,0.0300527611343753,-2.05817788143127,0.0395730610397398
"b_2_11",-0.0403620643286633,0.0350200732455439,-1.15254083124452,0.24909890120931
"b_2_12",-0.130487768290863,0.188262930183113,-0.69311450833122,0.488237693498667
"b_2_13",0.0797783345348262,0.190823798208861,0.418073297375136,0.675893527566199
"b_2_14",0.171679907912264,0.169290687633499,1.01411312289036,0.310528776911935
"b_2_15",0.15335391437675,0.175867592121479,0.871985068578306,0.383216523257527
"b_2_16",0.140987759899936,0.197938744444339,0.712279752484648,0.476291559518416
"b_2_17",0.103898610941994,0.18116493424656,0.573502876669231,0.566304251906377
"b_2_18",0.321684416834322,0.198829874578326,1.61788774205357,0.1056867924424
"b_2_19",0.419134786947432,0.166267609577689,2.52084448686074,0.0117073580093273
"b_2_20",-0.161433135536165,0.241771772520112,-0.667708781109822,0.50431950368085
"b_2_21",0.31746342791441,0.207012217371335,1.53354923658901,0.125140584957398
"b_2_22",0.300922705308958,0.168643928189152,1.7843672674147,0.0743640062634419
"b_2_23",0.352356910650179,0.165824361829299,2.12488024535802,0.033596606731733
"b_2_24",-0.0910901436916268,0.173588774403266,-0.52474674128417,0.599759259622687
"b_2_25",0.429401839219105,0.178292742322945,2.40840896620077,0.0160222215661212
"b_2_26",-0.058875215255126,0.178071556332221,-0.330626723704738,0.740926457836883
"b_2_27",0.0244810992411208,0.0116592938784178,2.09970685158191,0.0357546365075853
"b_2_28",-0.847423449292379,0.166726911533462,-5.08270345499864,3.72100397661622e-07
"b_2_29",0.0951392105262285,0.103118349712861,0.922621539145549,0.356204466960967
"b_2_30",-0.639254126386357,0.139801223773384,-4.57259320864443,4.81724815544384e-06
"b_2_31",0.340528417492706,0.114899964333583,2.96369471886057,0.00303969680259341
"b_2_32",0.430562918751527,0.105671391276824,4.0745457549962,4.61042484797883e-05
"b_2_33",0.804950980257141,0.246270406072535,3.26856561084346,0.0010809411263801
"b_2_34",-0.0800387456859436,0.0974667447242875,-0.821190303547698,0.411537878800231
"b_2_35",0.12167770349924,0.099136346877987,1.22737731751399,0.219680807638637
"b_2_36",0.534265146470838,0.0996248296546019,5.36277099115882,8.19548834297559e-08
"b_2_37",-0.869433113502314,0.129525579306155,-6.7124433502611,1.91392118805624e-11
"b_2_38",0.662127150244791,0.115963837723902,5.70977266051895,1.13127183778083e-08
"b_2_39",0.269625070041407,0.0960867781556293,2.80605797401909,0.00501516683123658
"b_2_40",0.162544662810839,0.0983168205603898,1.65327419951501,0.0982750713995434
"b_2_41",0.564397877971297,0.119698384909439,4.71516702918177,2.41512545379773e-06
"b_2_42",0.046729664696074,0.110751731163923,0.421931686349081,0.673074881018858
"b_2_43",-0.172541514730798,0.101667506985267,-1.69711562570134,0.0896748025906269
"b_2_44",-1.01757512852369,0.140206494075708,-7.25768899102653,3.93759616055033e-13
"b_2_45",0.606181314642583,0.128273501495127,4.72569398649814,2.29330786979361e-06
"b_2_46",0.392597768138003,0.172804960277398,2.2719126089192,0.0230917891853547
"b_2_47",-0.292501977060385,0.190727875151026,-1.53360895374507,0.125125884250554
"b_2_48",-0.59597379049076,0.114830001807703,-5.19005295749094,2.10234279670828e-07
"b_2_49",-1.00288693719292,0.117062066703706,-8.56713848843372,1.06088276879329e-17
"b_2_50",0.266063157134284,0.167980900840655,1.58388933386343,0.113218905044596
"b_2_51",-0.404133430325893,0.107139031147321,-3.77204671349131,0.000161913932822901
"b_2_52",-0.724145638388458,0.221737614895101,-3.26577716068171,0.00109164117807286
"b_2_53",0.0144409657499239,0.0993180972389135,0.145401151969168,0.884394155190011
"b_2_54",0.272680541660372,0.107510531951533,2.53631469132067,0.0112026014648628
"b_2_55",-0.187069811960113,0.0959500324506226,-1.94965866276681,0.0512168163693736
"b_2_56",0.402175809774454,0.109581272496644,3.67011443298188,0.000242441909626786
"b_2_57",-0.432183682506398,0.0976226270965314,-4.4270851477808,9.55150353016829e-06
"b_2_58",-0.644236217645365,0.195223722570286,-3.2999894129845,0.000966884759132836
"b_2_59",-1.20593742743204,0.159139470477142,-7.57786502503955,3.51287573775775e-14
"b_2_60",0.58770491181842,0.100851374436001,5.82743581934391,5.62854850876275e-09
"b_2_61",-0.52104107258493,0.100613140712179,-5.17865826368999,2.23487432048208e-07
"b_2_62",-0.170900047764712,0.103357350877537,-1.65348711353103,0.0982317666093669
"b_2_63",-0.374597971880126,0.13308822503858,-2.81465901112992,0.00488290142584345
"b_2_64",0.185256276725037,0.101459537064235,1.82591289183341,0.0678633839813241
"b_3_0",-0.00865855696724195,0.202183893751055,-0.0428251568737867,0.965840910096782
"b_3_1",0.145579559433091,0.056164639642351,2.59201448384824,0.00954157544248136
"b_3_2",0.0946824705726788,0.0418950347820338,2.25999264746481,0.0238217071676329
"b_3_3",0.212773057449439,0.0307462120255056,6.92030150813156,4.50683390741267e-12
"b_3_4",0.230080424974659,0.0321386846216345,7.15898698666023,8.12754002592749e-13
"b_3_5",0.148213127617511,0.0511878056180954,2.89547726900635,0.00378582447285223
"b_3_6",0.351537189608676,0.0331068170577475,10.6182720312707,2.45055250198415e-26
"b_3_7",0.127278161734368,0.034378329557929,3.70227883003735,0.000213671603523957
"b_3_8",0.0451133422234221,0.04449958015345,1.01379253619597,0.310681757526977
"b_3_9",0.00237068970010755,0.0413180747510301,0.0573765770644589,0.954245221052827
"b_3_10",-0.0530818502429619,0.0293110738994658,-1.81098278503979,0.0701435165048663
"b_3_11",-0.175670884458312,0.0333082497616439,-5.27409532819722,1.33412550292812e-07
"b_3_12",-0.0308459070490454,0.21092174877189,-0.146243368588817,0.883729270383886
"b_3_13",-0.00393380634410245,0.210173995240874,-0.0187169032952628,0.985066943737283
"b_3_14",-0.120520331877391,0.193473529139588,-0.622929309313613,0.533330976649333
"b_3_15",-0.121300061538816,0.199455494593442,-0.608156028922977,0.543083994697545
"b_3_16",0.167042681843961,0.215147085004446,0.776411550454001,0.437506026900292
"b_3_17",-0.0228445492551942,0.203085173401324,-0.112487528619582,0.910436857701722
"b_3_18",0.0564687106555104,0.221415240184215,0.255035338166104,0.798695805550127
"b_3_19",-0.000728165994586529,0.191002017108347,-0.00381234714486535,0.996958194440955
"b_3_20",0.119068150795182,0.244278664233077,0.487427549880385,0.625955373920104
"b_3_21",0.0564260426241385,0.22747376935215,0.248055161633981,0.804091727354903
"b_3_22",-0.0973288943457391,0.193069925601704,-0.504112145081182,0.614182572823324
"b_3_23",0.0192298406605913,0.190225200369597,0.10108986939285,0.919479119902321
"b_3_24",-0.107996402278871,0.197432424535049,-0.547004386605703,0.584375718452382
"b_3_25",0.347245366044096,0.199611030761939,1.73961010430445,0.0819275038043209
"b_3_26",-0.419755518916072,0.200878787590983,-2.08959603923313,0.0366541026368073
"b_3_27",0.0319974887864684,0.0112863389194151,2.83506361229551,0.00458165617697097
"b_3_28",-0.86432981387442,0.166264250394639,-5.19853072336883,2.00869928011282e-07
"b_3_29",-0.210487643201276,0.10213194030805,-2.06093845437973,0.0393089120549165
"b_3_30",-0.388642942006488,0.137123934503121,-2.83424584785118,0.0045933979103854
"b_3_31",0.65177549750325,0.119978960949274,5.43241491963592,5.55964635880056e-08
"b_3_32",-0.0553841454378899,0.0997706759158385,-0.555114465543053,0.578816369008631
"b_3_33",-0.707942530148745,0.192252945699053,-3.68234945672529,0.000231094335769911
"b_3_34",-0.298810248682244,0.10005362316489,-2.98650103045042,0.00282189887243779
"b_3_35",0.342921861129851,0.101507370923416,3.3782951721661,0.00072936745458882
"b_3_36",0.028762922499214,0.0957589406404465,0.300368010619628,0.763896461590901
"b_3_37",-1.1875230415614,0.143852037321289,-8.25517012949288,1.51686012803472e-16
"b_3_38",0.466018441374096,0.106622366271746,4.37073812624235,1.23827230344011e-05
"b_3_39",-0.167647720191494,0.0930604001541165,-1.80149365265842,0.0716251068495675
"b_3_40",0.0780290277263704,0.0978392413991583,0.797522820194737,0.425147454900338
"b_3_41",-0.00615058402455082,0.111188274059784,-0.0553168405262208,0.955886045908077
"b_3_42",-0.633017164801939,0.107293540857326,-5.89986274797006,3.63804082270357e-09
"b_3_43",-0.648493163027958,0.104737514751811,-6.19160350104397,5.95552109828823e-10
"b_3_44",-0.775931123142074,0.130447722886956,-5.94821516213424,2.7108211090276e-09
"b_3_45",0.0410310437174771,0.115650110605397,0.354786030922847,0.722749894208648
"b_3_46",-0.506932966934517,0.1595686503994,-3.17689574779046,0.0014886053658542
"b_3_47",-1.53892630164784,0.274065381698045,-5.61517945868613,1.963583444922e-08
"b_3_48",-0.759793056244601,0.120492002570438,-6.30575507117526,2.86792262503275e-10
"b_3_49",-0.858066629387079,0.113033357429533,-7.59126906340027,3.16787364660657e-14
"b_3_50",0.275310426955636,0.159099856154743,1.73042536687063,0.0835543049086104
"b_3_51",-0.127687450292908,0.108827163210367,-1.17330495922313,0.240673534270673
"b_3_52",-1.02501865074527,0.232044370413582,-4.41733901545785,9.99234411244308e-06
"b_3_53",-0.309883614129326,0.0997552331572171,-3.10643967561021,0.00189354938881638
"b_3_54",-0.353648286717529,0.101456304211627,-3.48572017742591,0.000490814124677687
"b_3_55",-0.235567662007894,0.0965992007789833,-2.43860880947522,0.0147439192315836
